epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
77,38330.4,1.21219,4.85436,0.37701,0.96566,1.15665,0.83569,0.7655,0.8577,0.59431,0.77934,0.60551,0.6359,0.3251,1.05796,3.73371,0.35191,0.7496,1.0457,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,38849,1.2155,4.86813,0.37749,0.97084,1.15733,0.83362,0.7681,0.85776,0.59551,0.78148,0.60693,0.6365,0.32507,1.05736,3.73251,0.35172,0.74936,1.0454,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,39365.7,1.21383,4.85447,0.37736,0.96862,1.1556,0.83561,0.76826,0.85755,0.59527,0.77966,0.60718,0.63543,0.32526,1.05745,3.73107,0.35151,0.74911,1.04535,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,39865.1,1.21294,4.84365,0.37641,0.96666,1.15488,0.83294,0.76922,0.85762,0.59469,0.77898,0.6069,0.63525,0.32561,1.05727,3.72987,0.35145,0.74848,1.04517,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,40373.7,1.21591,4.86508,0.37676,0.96922,1.15717,0.8319,0.76977,0.85763,0.59513,0.7799,0.60737,0.6356,0.32556,1.05629,3.7259,0.35125,0.74789,1.04445,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,40882.3,1.21147,4.844,0.37711,0.96407,1.1546,0.83063,0.76977,0.85766,0.59551,0.77761,0.60881,0.63603,0.32593,1.05565,3.72325,0.3511,0.74738,1.04382,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,41388.9,1.21226,4.84507,0.37671,0.96567,1.15507,0.83288,0.76889,0.85797,0.59559,0.78081,0.61073,0.63721,0.32571,1.0551,3.7204,0.35076,0.74656,1.04337,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,41907.9,1.21176,4.84625,0.37656,0.96798,1.15585,0.83396,0.7681,0.85817,0.59567,0.77905,0.61146,0.63711,0.32601,1.05492,3.71966,0.35055,0.7466,1.0433,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,42413.1,1.21166,4.84027,0.37618,0.96319,1.15484,0.83495,0.76685,0.85795,0.59596,0.77825,0.61193,0.63804,0.32629,1.05455,3.71769,0.35056,0.74603,1.04304,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,42916.7,1.21202,4.83441,0.37583,0.9659,1.15534,0.83495,0.7681,0.85832,0.59623,0.77734,0.61146,0.63917,0.32709,1.05361,3.71744,0.3504,0.74539,1.04242,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,43421,1.20746,4.83057,0.37617,0.9617,1.15345,0.83358,0.76795,0.85814,0.5964,0.7778,0.61169,0.6388,0.32723,1.05282,3.71515,0.35035,0.74473,1.04194,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,43925.9,1.21333,4.84002,0.37557,0.96766,1.15706,0.83223,0.76999,0.85812,0.59601,0.77832,0.61244,0.63992,0.32752,1.05184,3.71439,0.35026,0.74413,1.04177,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,44432.4,1.21291,4.83518,0.37677,0.9637,1.15491,0.83248,0.76903,0.8583,0.59646,0.77692,0.60989,0.63879,0.3277,1.05181,3.71293,0.35013,0.74397,1.04165,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,44951.1,1.20756,4.82314,0.37564,0.96424,1.15294,0.83458,0.76622,0.85783,0.59651,0.77898,0.61083,0.64005,0.32813,1.05204,3.71292,0.35005,0.74398,1.04165,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,45457.1,1.21108,4.8314,0.37612,0.96526,1.15444,0.83409,0.76747,0.85807,0.59631,0.77734,0.61162,0.63994,0.32832,1.05209,3.7128,0.35006,0.74435,1.04205,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,45963.3,1.20933,4.83002,0.37525,0.96266,1.15373,0.83304,0.76763,0.85807,0.59658,0.77786,0.61357,0.64124,0.32869,1.05139,3.70964,0.34999,0.74459,1.04132,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,46468.2,1.20865,4.82743,0.37539,0.9619,1.15355,0.83365,0.76768,0.8582,0.59668,0.77933,0.61717,0.64483,0.32901,1.05154,3.70806,0.34995,0.74442,1.04138,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,46971.8,1.2061,4.81027,0.37479,0.96073,1.1521,0.83507,0.76601,0.85839,0.59623,0.77673,0.6176,0.64333,0.32858,1.05176,3.70672,0.34983,0.74438,1.0414,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,47475.9,1.20914,4.81494,0.37589,0.96419,1.15399,0.83695,0.76284,0.85815,0.59639,0.77757,0.61666,0.64309,0.32821,1.05144,3.70557,0.3496,0.74494,1.04099,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
